teks_tweet,lokasi,created_at,username,lang
"Sidokkes Polres Kolaka melaksanakan pemeriksaan dan pengawasan keamanan makanan dalam program Makan Bergizi Gratis (MBG) di SPPG Polres Kolaka, Sabtu (9/5). https://t.co/TgUTwA6RIM",,2026-05-16T07:13:25.000Z,Polresta_SMD,in
"Pernah bayangin nggak kemegahan Stasiun Chongqing East di China? 

Stasiun raksasa ini dibangun dengan biaya sekitar Rp130 Triliun! Menariknya, angka ini setara dengan biaya operasional program Makan Bergizi Gratis (MBG) di Indonesia selama kurang lebih 3 bulan.

Ini jadi https://t.co/a7b7E6hJcc",,2026-05-12T14:12:22.000Z,BangPino__,in
"Program Makan Bergizi Gratis menjadi langkah nyata menciptakan generasi Indonesia yang sehat, cerdas, dan siap membawa bangsa menuju masa depan gemilang
#MBG #GenerasiSehat #GenerasiCerdas #IndonesiaMaju https://t.co/2xRwVgmiNy",,2026-05-16T01:41:01.000Z,IBersatu2568,in
"Nanik S. Deyang Wakil Kepala Badan Gizi Nasional (VGN) Bidang Komunikasi Publik dan Investigasi saat melakukan sidak di Sukabumi 

Temuan Sidak: Disiplin Kepala SPPG dan Kebersihan Dapur Jadi Sorotan Tajam

SUKABUMI – Kualitas pengawasan dalam program Makan Bergizi Gratis (MBG) https://t.co/Hy1obDoU72",,2026-05-10T16:33:24.000Z,neVerAl0nely___,in
"Program Makan Bergizi Gratis menjadi langkah nyata menciptakan generasi Indonesia yang sehat, cerdas, dan siap membawa bangsa menuju masa depan gemilang
#MBG #GenerasiSehat #GenerasiCerdas #IndonesiaMaju https://t.co/6zXIg1cFIS",,2026-05-16T01:30:01.000Z,Aryalmahib,in
"Presiden Prabowo Subianto menegaskan tidak akan memaksakan program Makan Bergizi Gratis (MBG) untuk anak-anak dari keluarga kaya, karena program ini difokuskan pada mereka yang membutuhkan. 

Source: https://t.co/GGGSP7hOg0 https://t.co/vxtF9xlO2K",,2026-05-11T06:22:02.000Z,insidefolkative,in
"Di saat para siswa menunggu menu Makan Bergizi Gratis (MBG) tiba di sekolah, ada satu proses penting yang lebih dulu dilakukan di dapur SPPG Polres Kutai Timur. Bukan memasak atau mengemas makanan, melainkan “sidang rasa” oleh tim kesehatan.
https://t.co/v9NOgXqOWE",,2026-05-15T06:11:55.000Z,polresberau4,in
"Sidokkes Polres Kutai Timur (Kutim), Polda Kalimantan Timur, melaksanakan pemeriksaan dan pengawasan keamanan makanan program Makan Bergizi Gratis (MBG) di SPPG Polres Kutim untuk memastikan seluruh makanan yang didistribusikan aman, sehat, dan layak konsumsi. Pemeriksaan https://t.co/Yb512yHY3q",,2026-05-13T08:50:28.000Z,DivHumas_Polri,in
"Akhirnya ada yg demo MBG jg?

Aksi demonstrasi massa dari Pergerakan Mahasiswa Islam Indonesia (PMII) Cabang Bulukumba di gedung DPRD Bulukumba, Sulselberakhir ricuh. Massa aksi menyoroti dugaan manipulasi anggaran atau mark up pada program Makan Bergizi Gratis (MBG) di wilayah https://t.co/lYtaABuvEF",,2026-05-05T12:59:54.000Z,Jelli_cent,in
Kepastian harga bagi nelayan melalui penyerapan hasil tangkapan untuk Program Makan Bergizi Gratis. Jaga ekonomi nelayan dan gizi anak bangsa. #LanjutkanMBG https://t.co/6tCB41Yo4x,,2026-05-16T01:56:52.000Z,TimurParadise,in
